"subjec_activity","mean_of_std","mean_of_mean"
"subject_1_laying",-0.896699261804485,-0.466464695241624
"subject_1_sitting",-0.962531684925854,-0.487488828495867
"subject_1_standing",-0.986798479817038,-0.516975248009769
"subject_1_walking",-0.302551798992919,-0.0838573459916048
"subject_1_walking_downstairs",-0.263719603503896,-0.0349964672263018
"subject_1_walking_upstairs",-0.428436196561521,-0.202237420225089
"subject_10_laying",-0.961084978136364,-0.541823106038124
"subject_10_sitting",-0.971721957250842,-0.502534954340297
"subject_10_standing",-0.953572276081267,-0.48951318794854
"subject_10_walking",-0.330444040259886,-0.0841881981430086
"subject_10_walking_downstairs",-0.217214895073397,-0.000249750597424243
"subject_10_walking_upstairs",-0.33138123899396,-0.0979337190150181
"subject_11_laying",-0.977547759728868,-0.50095320287773
"subject_11_sitting",-0.969903732115495,-0.490523100806718
"subject_11_standing",-0.985657370773694,-0.509348992988923
"subject_11_walking",-0.535503995110734,-0.222529921708447
"subject_11_walking_downstairs",-0.343943666544796,-0.0974925076394664
"subject_11_walking_upstairs",-0.50198701766128,-0.239938669371902
"subject_12_laying",-0.957088102540404,-0.498124792032077
"subject_12_sitting",-0.963695997290553,-0.492143016717083
"subject_12_standing",-0.944561812874814,-0.49414119824769
"subject_12_walking",-0.389277124734909,-0.122791874169958
"subject_12_walking_downstairs",-0.295167216690606,-0.0633883264400636
"subject_12_walking_upstairs",-0.494017099181002,-0.213995345759266
"subject_13_laying",-0.967352157609971,-0.494984663416783
"subject_13_sitting",-0.971614675209029,-0.498864171673993
"subject_13_standing",-0.973488324742158,-0.511294929068831
"subject_13_walking",-0.322358364868426,-0.0996192234656832
"subject_13_walking_downstairs",-0.283386205699099,-0.0582178556565087
"subject_13_walking_upstairs",-0.454771797975796,-0.206510439531774
"subject_14_laying",-0.934842463238265,-0.478718255922756
"subject_14_sitting",-0.960128611305275,-0.500429006908068
"subject_14_standing",-0.955643634646465,-0.511858205016753
"subject_14_walking",-0.39895837100264,-0.177740629970004
"subject_14_walking_downstairs",-0.0451783638523098,0.0520165644020808
